CURVE,X,Y
3077,100,153.8
3077,110,168.1
3077,120,181.4
3077,130,193.6
3077,140,205
1098,79,0
1098,80,120.8
1098,90,137.7
1098,100,153.8
1098,110,168.1
1098,120,181.4
1098,130,193.6
1098,140,205
3510,79,0
3510,80,120.8
3510,90,137.7
3510,100,153.8
3510,110,168.1
3510,120,181.4
3510,130,193.6
3510,140,205
503,79,0
503,80,120.8
503,90,137.7
503,100,153.8
503,110,168.1
503,120,181.4
503,130,193.6
503,140,205
347,79,0
347,80,120.8
347,90,137.7
347,100,153.8
347,110,168.1
347,120,181.4
347,130,193.6
347,140,205
2143,85,0
2143,86,1
2143,87,0
330,85,0
330,86,1
330,87,0
1165,75,0
1165,76,1
1165,77,0
272,75,0
272,76,1
272,77,0
122,89,0
961,89,0
961,90,0.1
2607,89,0
2607,90,0.1
1134,89,0
1134,90,0.15
3272,89,0
3272,90,0.15
1773,89,0
1773,90,0.19
951,89,0
951,90,0.19
960,89,0
960,90,0.2
562,89,0
562,90,0.19
238,89,0
238,90,0.15
127,89,0
127,90,0.1
1136,89,0
1136,90,0.25
1044,89,0
1044,90,0.2
1135,89,0
1135,90,0.6
876,89,0
876,90,0.3
240,89,0
240,90,0.25
3273,89,0
3273,90,0.6
962,89,0
962,90,0.7
570,89,0
570,90,0.7
239,89,0
239,90,0.6
2566,89,0
2566,90,0.8
1045,89,0
1045,90,0.8
952,89,0
952,90,0.81
2313,89,0
2313,90,0.81
953,89,0
953,90,1
948,89,0
948,90,1
948,110,1
948,111,0
563,89,0
563,90,0.81
246,89,0
246,90,0.8
128,89,0
128,90,0.7
126,89,0
126,90,0.2
3444,89,0
3444,90,48.5
3444,100,54.4
3444,110,59.9
3444,120,65
3444,130,69.7
3444,140,73.8
3444,150,77.6
3444,160,81.1
3444,170,84.3
3444,180,87.2
3444,190,89.9
3444,200,92.2
3444,210,94.4
3444,220,96.3
1778,89,0
1778,90,48.5
1778,100,54.4
1778,110,59.9
1778,120,65
1778,130,69.7
1778,140,73.8
1778,150,77.6
1778,160,81.1
1778,170,84.3
1778,180,87.2
1778,190,89.9
1778,200,92.2
1778,210,94.4
1778,220,96.3
3430,89,0
3430,90,48.5
3430,100,54.4
3430,110,59.9
3430,120,65
3430,130,69.7
3430,140,73.8
3430,150,77.6
3430,160,81.1
3430,170,84.3
3430,180,87.2
3430,190,89.9
3430,200,92.2
3430,210,94.4
3430,220,96.3
2605,89,0
2605,90,48.5
2605,100,54.4
2605,110,59.9
2605,120,65
2605,130,69.7
2605,140,73.8
2605,150,77.6
2605,160,81.1
2605,170,84.3
2605,180,87.2
2605,190,89.9
2605,200,92.2
2605,210,94.4
2605,220,96.3
958,89,0
958,90,48.5
958,100,54.4
958,110,59.9
958,120,65
958,130,69.7
958,140,73.8
958,150,77.6
958,160,81.1
958,170,84.3
958,180,87.2
958,190,89.9
958,200,92.2
958,210,94.4
958,220,96.3
2501,89,0
2501,90,48.5
2501,100,54.4
2501,110,59.9
2501,120,65
2501,130,69.7
2501,140,73.8
2501,150,77.6
2501,160,81.1
2501,170,84.3
2501,180,87.2
2501,190,89.9
2501,200,92.2
2501,210,94.4
2501,220,96.3
2318,89,0
2318,90,48.5
2318,100,54.4
2318,110,59.9
2318,120,65
2318,130,69.7
2318,140,73.8
2318,150,77.6
2318,160,81.1
2318,170,84.3
2318,180,87.2
2318,190,89.9
2318,200,92.2
2318,210,94.4
2318,220,96.3
3053,89,0
3053,90,48.5
3053,100,54.4
3053,110,59.9
3053,120,65
3053,130,69.7
3053,140,73.8
3053,150,77.6
3053,160,81.1
3053,170,84.3
3053,180,87.2
3053,190,89.9
3053,200,92.2
3053,210,94.4
3053,220,96.3
2041,89,0
2041,90,48.5
2041,100,54.4
2041,110,59.9
2041,120,65
2041,130,69.7
2041,140,73.8
2041,150,77.6
2041,160,81.1
2041,170,84.3
2041,180,87.2
2041,190,89.9
2041,200,92.2
2041,210,94.4
2041,220,96.3
568,89,0
568,90,48.5
568,100,54.4
568,110,59.9
568,120,65
568,130,69.7
568,140,73.8
568,150,77.6
568,160,81.1
568,170,84.3
568,180,87.2
568,190,89.9
568,200,92.2
568,210,94.4
568,220,96.3
129,89,0
129,90,1
123,89,0
123,90,1
123,110,1
123,111,0
1128,89,0
1128,90,66.6
1128,100,75.4
1128,110,83.4
1128,120,90.9
1128,130,97.8
1128,140,104.1
1128,150,109.8
1128,160,115
2571,89,0
2571,90,87.1
2571,100,99.6
2571,110,111.2
2571,120,121.2
2571,130,130.5
2571,140,138.8
2571,150,146.4
2571,160,153.3
1148,89,0
1148,90,87.1
1148,100,99.6
1148,110,111.2
1148,120,121.2
1148,130,130.5
1148,140,138.8
1148,150,146.4
1148,160,153.3
890,89,0
890,90,87.1
890,100,99.6
890,110,111.2
890,120,121.2
890,130,130.5
890,140,138.8
890,150,146.4
890,160,153.3
3281,89,0
3281,90,87.1
3281,100,99.6
3281,110,111.2
3281,120,121.2
3281,130,130.5
3281,140,138.8
3281,150,146.4
3281,160,153.3
2564,89,0
2564,90,88.8
2564,100,100.5
2564,110,111.2
2564,120,121.2
2564,130,130.5
2564,140,138.8
2564,150,146.4
2564,160,153.3
1140,89,0
1140,90,88.8
1140,100,100.5
1140,110,111.2
1140,120,121.2
1140,130,130.5
1140,140,138.8
1140,150,146.4
1140,160,153.3
1905,89,0
1905,90,87.1
1905,100,99.6
1905,110,111.2
1905,120,121.2
1905,130,130.5
1905,140,138.8
1905,150,146.4
1905,160,153.3
1053,89,0
1053,90,87.1
1053,100,99.6
1053,110,111.2
1053,120,121.2
1053,130,130.5
1053,140,138.8
1053,150,146.4
1053,160,153.3
255,89,0
